"ECS" "pdf.landocean" "pdf.land" "pdf.ocean" "pdf.dust0x" "pdf.dust2x" "pdf.wind1x" "pdf.wind2x" "pdf.sl0x" "pdf.sl2x"
0 6.85758444513498e-17 1.22521168430315e-11 4.75216752408513e-17 4.4349826006891e-17 0 1.34400207308894e-17 1.57973844508912e-17 6.61902657988178e-17 6.77522315130812e-17
0.01 4.18190804258239e-17 2.85392484992941e-11 8.63274960592923e-17 5.21818898817202e-17 2.40258125762166e-17 6.7661258259278e-19 5.39796851962762e-17 8.6304526080034e-17 6.21215935645792e-17
0.02 2.61370895460677e-17 6.41413238684729e-11 3.25373603311418e-17 5.46034640953361e-19 4.96093272506065e-17 0 2.02222820516187e-17 3.92388756908462e-17 1.93029695409223e-17
0.03 6.63532698391472e-17 1.40796734870213e-10 2.11357171710248e-17 2.54376839530586e-17 1.19815852240083e-17 0 0 1.23442317599904e-16 7.72493176660797e-17
0.04 1.40092236189094e-17 3.06557029839237e-10 7.61131746063982e-17 7.60807484988602e-18 1.16650985528736e-17 0 2.77691154253410e-18 6.62678455010358e-17 2.43196980145689e-17
0.05 5.50155801399249e-17 6.35582888312016e-10 1.49968251407743e-17 0 1.92752364790617e-18 0 0 5.72824747791654e-17 4.49410657303701e-17
0.06 9.38377540171855e-17 1.33853372613993e-09 7.30521313439077e-17 8.3022521381872e-17 6.2446371549388e-18 0 0 1.12078668891024e-16 2.86000829956445e-17
0.07 5.47523771496752e-17 2.63585755361976e-09 3.79881235949498e-17 2.85575662929059e-17 5.16141961602169e-17 0 1.86956604808201e-17 6.16402885465201e-17 3.41839526010733e-17
0.08 4.27871132908383e-17 5.34331032612946e-09 1.36622903974008e-18 1.16456107410530e-17 1.67548117269972e-17 2.82300494370685e-17 0 3.79285308059927e-17 5.09850390170842e-17
0.09 7.63895813510218e-17 1.01709460780678e-08 7.13180067388332e-17 3.87040904975727e-17 6.76408724068633e-17 8.7814309176839e-18 1.77450851587302e-17 8.71517815083573e-17 2.60993512106054e-17
0.1 4.39915623841502e-17 1.95158219130419e-08 0 0 8.6824742363009e-17 2.19817277057999e-18 3.65591602409342e-17 5.83645596045212e-17 3.81639164714898e-17
0.11 7.83723599602387e-17 3.58641167514801e-08 1.59039421833690e-17 4.63830744210995e-17 2.29886218793428e-17 2.63555529176880e-17 0 8.38446928410252e-17 7.1733520443901e-17
0.12 8.32492762626899e-18 6.52676244716355e-08 6.18751327045732e-17 2.09584070087495e-17 7.26234188792379e-17 3.45105430672971e-18 5.34960292373662e-17 3.29670326476511e-17 2.82643417118426e-17
0.13 4.50098592034783e-17 1.15642504498246e-07 0 0 1.79620691626790e-17 2.30318974148206e-17 0 5.49467017061519e-17 1.20318856535752e-17
0.14 5.42217601661353e-17 2.00023954449057e-07 3.8260215662395e-18 2.93717987603817e-17 3.60496049979561e-17 0 0 1.38660811761358e-16 2.84156042953169e-17
0.15 1.32428250611521e-17 3.41230994862173e-07 7.39947769294252e-18 0 4.04196721895681e-17 1.01328395008667e-17 4.63059270506461e-18 2.13548478333107e-17 2.94790742980701e-17
0.16 6.35188361815259e-17 5.62174573359386e-07 5.59872911948137e-18 0 0 2.64690867059609e-17 0 7.2748849288815e-17 2.59823663271025e-17
0.17 3.70795675703510e-17 9.22112869214043e-07 3.78696959367522e-17 0 0 6.71881453890156e-17 7.0906569079179e-17 8.30460374081601e-17 1.25151511079973e-17
0.18 8.84478722032821e-17 1.45198118397971e-06 2.51752569281410e-19 0 3.54297049549355e-17 0 0 1.60694733908695e-17 0
0.19 4.26555651515874e-17 2.28389039619944e-06 2.89563997581576e-17 0 0 0 3.43145036116456e-18 7.37403532051894e-17 0
0.2 1.32420668461022e-18 3.46135424061189e-06 1.71823432973604e-17 5.09135719142414e-18 2.63698581927828e-17 0 3.86643120175347e-17 8.98113165850896e-18 1.52607146645644e-17
0.21 4.1757371332636e-17 5.18925765500145e-06 0 8.0687663737004e-18 3.33520362108145e-18 0 0 4.28935215198361e-17 3.95374916156178e-18
0.22 3.22317057558031e-17 7.56267082598742e-06 1.04634044884805e-17 0 0 0 3.1843459373596e-17 1.05488169407229e-16 4.02925443264129e-18
0.23 0 1.08272381155189e-05 1.47576597768675e-17 0 3.39112136318675e-17 0 0 0 0
0.24 3.41524439037728e-18 1.51629811824749e-05 0 0 0 0 0 2.45443256802849e-17 0
0.25 2.47197042250237e-17 2.07717452789342e-05 1.49528769216393e-17 0 0 1.77752717210718e-18 0 5.27935834668201e-17 0
0.26 0 2.79447381627713e-05 1.71676253784608e-17 0 0 1.73957587063713e-17 0 0 0
0.27 3.83188772144125e-17 3.67072718111264e-05 2.65611947935132e-17 0 0 0 4.66717515671716e-17 2.22236777148177e-17 0
0.28 2.4208670757845e-17 4.74544497635884e-05 5.0688511598116e-17 0 1.67847740695963e-17 0 0 4.55791087544922e-19 0
0.29 2.63306612973422e-17 5.99297654105339e-05 3.14911506977102e-17 0 3.74298667779777e-18 1.77017287909214e-17 0 2.47921562840807e-17 0
