Reference   	#	Loc.	Lat.	Long.	d13C	Temp	[CO2]aqu.	ep	Log(CO2aq)
								x	
Fontugne and Duplessy, 1978, EPSL	57	P	15	-72	-19.3	31.7	8.0	12.6	0.91
Fontugne and Duplessy, 1978, EPSL	48	P	3	-79	-19.3	31.6	8.1	12.6	0.91
Fontugne and Duplessy, 1978, EPSL	58	P	17	-71	-22.2	31.5	8.1	15.5	0.91
Fontugne and Duplessy, 1978, EPSL	47	P	2	-76	-20.2	31.5	8.1	13.5	0.91
Fontugne and Duplessy, 1981, Oceanol. Acta	252	P	16	-67	-19.3	31.1	8.1	12.5	0.91
Fontugne and Duplessy, 1978, EPSL	56	P	13	-73	-19.8	31.1	8.2	13.1	0.91
Fontugne and Duplessy, 1978, EPSL	54	P	10	75	-21.1	31.0	8.2	14.3	0.91
Fontugne and Duplessy, 1978, EPSL	51	P	7	-79	-20.3	31.0	8.2	13.5	0.91
Fontugne and Duplessy, 1978, EPSL	49	P	4	-79	-20.5	31.0	8.2	13.7	0.91
Fontugne and Duplessy, 1978, EPSL	55	P	12	-75	-20.0	30.8	8.2	13.2	0.91
Fontugne and Duplessy, 1981, Oceanol. Acta	251	P	13	-72	-19.0	30.7	8.2	12.2	0.91
Fontugne and Duplessy, 1978, EPSL	52	P	8	-75	-20.6	30.7	8.2	13.8	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	253	P	17	-63	-19.1	30.5	8.3	12.3	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	233	P	18	-89	-19.5	30.5	8.3	12.7	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	250	P	14	-73	-18.8	30.4	8.3	11.9	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	248	P	12	-74	-19.2	30.3	8.3	12.4	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	249	P	13	-73	-19.3	30.2	8.3	12.5	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	247	P	11	-74	-19.3	30.1	8.3	12.4	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	216	P	2	-90	-19.5	30.0	8.4	12.6	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	225	P	11	-94	-20.6	30.0	8.4	13.8	0.92
Fontugne and Duplessy, 1978, EPSL	53	P	9	-75	-20.4	29.9	8.4	13.5	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	234	P	17	-90	-19.7	29.9	8.4	12.9	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	246	P	10	-75	-19.4	29.9	8.4	12.5	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	230	P	16	-93	-19.7	29.8	8.4	12.8	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	237	P	14	-92	-19.5	29.8	8.4	12.6	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	228	P	13	-95	-19.9	29.8	8.4	13.0	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	254	P	19	-60	-18.8	29.8	8.4	11.9	0.92
Fontugne and Duplessy, 1978, EPSL	50	P	6	-78	-20.1	29.7	8.4	13.2	0.92
Fontugne and Duplessy, 1981, Oceanol. Acta	236	P	15	-91	-19.7	29.7	8.4	12.9	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	220	P	6	-95	-19.9	29.7	8.4	13.0	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	232	P	18	-91	-19.7	29.6	8.4	12.8	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	235	P	16	-91	-19.7	29.6	8.4	12.8	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	231	P	17	-93	-19.4	29.6	8.4	12.5	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	227	P	12	-96	-19.5	29.6	8.4	12.6	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	224	P	11	-93	-19.9	29.6	8.4	13.0	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	226	P	12	-94	-19.9	29.6	8.4	13.0	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	215	P	1	-90	-19.4	29.5	8.5	12.5	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	238	P	12	-92	-19.8	29.4	8.5	12.9	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	219	P	6	-94	-20.0	29.4	8.5	13.1	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	222	P	8	-95	-20.1	29.4	8.5	13.2	0.93
Fontugne and Duplessy, 1981, Oceanol. Acta	229	P	14	-93	-19.5	29.4	8.5	12.6	0.93
