"Latitude (S = -)","Longitude (W = -)","Depth (meters)","Holocene d13C","LGM d13C","Time series =1; Time slice = 2; PE = phytodetritus effect"
-33.88,17.63,280,1.3976,1.4900,2
26.26,-77.67,423,1.7000,2.3000,2
-26.68,-46.50,441,1.4000,1.2000,2
-6.48,11.43,450,-999.9900,0.5740,2
-26.69,-46.34,462,1.6000,1.3000,2
-26.69,-46.34,462,-999.9900,1.3000,2
-26.48,-45.93,630,1.6000,1.0000,2
25.98,-78.18,654,1.3000,1.9000,2
25.98,-78.18,743,1.2000,1.8000,2
52.15,-12.77,749,0.9856,1.3171,2
52.15,-12.77,758,-999.9900,1.3650,2
-3.67,-37.72,767,1.4300,0.9000,2
32.94,-76.55,775,0.7000,-999.9900,2
26.22,-77.67,783,1.2000,1.7000,2
-27.37,-46.84,790,1.5000,0.9000,2
29.25,-11.50,796,1.2000,1.4800,2
34.96,-7.12,803,1.2700,1.7300,2
21.25,-17.80,812,1.0018,1.2715,1
-26.39,-45.69,898,-999.9900,0.6000,2
-33.47,-17.03,898,0.6100,0.9000,2
52.16,-12.75,900,0.9911,1.3293,1
32.99,-76.41,900,1.0000,1.5000,2
-27.27,-46.63,936,1.4000,0.7000,2
-27.25,-46.63,938,1.4000,0.8000,2
15.48,-17.36,945,0.7500,0.9200,2
26.07,-78.07,965,1.4215,1.4645,1
-20.40,11.62,965,0.5540,0.3300,2
-4.00,10.00,1000,-999.9900,0.1167,1
-5.20,11.33,1000,-0.1100,-0.1000,2
33.00,-76.36,1005,1.2000,-999.9900,2
29.17,-12.09,1024,-999.9900,1.3700,2
26.06,-78.03,1057,1.5000,1.5000,1
-27.35,-46.63,1105,1.3000,0.6000,2
-27.35,-46.63,1108,1.1000,0.4000,2
-27.89,-46.04,1128,1.3000,0.5000,2
57.51,-15.85,1134,0.9611,1.4350,1
58.73,-15.57,1139,1.1000,1.4000,2
58.00,-16.50,1150,1.1400,1.4000,2
-19.87,11.03,1170,-999.9900,0.3000,2
35.89,-7.53,1177,-999.9900,1.3100,1
26.94,-77.85,1183,1.3000,1.5000,2
35.97,-7.82,1201,-999.9900,1.5700,2
32.98,-76.32,1205,1.2000,-999.9900,2
-27.25,-46.47,1253,1.1000,-999.9900,2
-27.27,-46.47,1268,1.2000,0.5000,2
-27.51,-46.47,1268,1.1400,0.5600,2
12.02,-61.24,1295,0.9000,1.2000,2
12.09,-61.24,1299,1.0163,1.2388,1
26.14,-77.23,1320,1.2025,1.3500,1
55.00,-19.00,1326,1.3200,1.5800,2
-42.00,1.00,1335,0.5800,0.3800,2
